,id,book,book2,chapter,verse,language,stem,und_do,L_object,dir_object,infinitive_object,location,benefactive,K_object,indirect_object,tot_obj,valence,obj_valence,source,main_sub,discourse,genre,,parallel,DSS
324,471295,Isaiah,Isaiah,49,11,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,And I will turn all my mountains into a road,,
325,471383,Isaiah,Isaiah,50,2,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,I make the rivers a desert;,,
326,471387,Isaiah,Isaiah,50,3,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy, and make sackcloth their covering.,,
327,471402,Isaiah,Isaiah,50,7,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
328,471444,Isaiah,Isaiah,51,3,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,,,
329,471485,Isaiah,Isaiah,51,10,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,who made the depths of the sea a way,,
332,471555,Isaiah,Isaiah,51,23,hbo,qal,0,0,1,0,0,0,1,0,1,101000,1010,,,,prophecy,    for the redeemed to cross over?,,
333,471677,Isaiah,Isaiah,53,10,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,When you make his life an offering for sin,,
334,471742,Isaiah,Isaiah,54,12,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,"I will make your pinnacles of rubies,",,
340,472243,Isaiah,Isaiah,60,15,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,Q,prophecy,"I will make you majestic forever,",,
341,472252,Isaiah,Isaiah,60,17,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,main,Q,prophecy,I will appoint Peace as your overseer,,
343,472356,Isaiah,Isaiah,62,7,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,and makes it renowned throughout the earth.,,
346,472876,Jeremiah,Jeremiah,2,7,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,main,N,prophecy,you made my heritage an abomination,,
347,473175,Jeremiah,Jeremiah,4,7,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,Q,prophecy,to make your land a waste;,,
348,473402,Jeremiah,Jeremiah,5,22,hbo,qal,0,0,2,0,0,1,0,0,2,200001,2000,,submod,Q,prophecy,"I placed the sand as a boundary for the sea,",,
349,473479,Jeremiah,Jeremiah,6,8,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,"and make you a desolation,",,
350,473716,Jeremiah,Jeremiah,7,30,hbo,qal,0,0,1,1,1,0,0,0,1,100110,1001,,,,prophecy,,,
352,474045,Jeremiah,Jeremiah,10,22,hbo,qal,0,0,2,0,0,0,0,0,2,200000,2000,,subadv,Q,prophecy,to make the cities of Judah a desolation,,
354,474222,Jeremiah,Jeremiah,12,11,hbo,qal,0,1,1,0,0,0,0,0,1,110000,1100,,subadv,Q,prophecy,They have made it a desolation,,
358,474336,Jeremiah,Jeremiah,13,16,hbo,qal,0,1,1,0,1,0,0,0,1,110010,1100,,main,Q,prophecy,he turns it into gloom,,
